fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,5468941.67
2026,3,Dec,15594140.74
2026,4,Jan,17312961.95
2026,5,Feb,24115253.43
2026,6,Mar,29455207.36
2026,7,Apr,36212959.93
2026,8,May,43287746.06
2025,2,Oct/Nov,16124248.72
2025,3,Dec,26933650.2
2025,4,Jan,30172481.67
2025,5,Feb,36992605.36
2025,6,Mar,42355934.39
2025,7,Apr,48151830.93
2025,8,May,52916368.55
2025,9,Jun,59807462.83
2025,10,Jul,62445400.77
2025,11,Aug,72985030.27
2025,12,Sep,79389712.85
2024,2,Oct/Nov,27469547.98
2024,3,Dec,40763222.91
2024,4,Jan,54368310.5
2024,5,Feb,68465582.5
2024,6,Mar,85228165.12
2024,7,Apr,101731692.9
2024,8,May,116164016.95
2024,9,Jun,133924536.98
2024,10,Jul,143065576.7
2024,11,Aug,157298665.29
2024,12,Sep,168826967.57
2023,2,Oct/Nov,15135993.64
2023,3,Dec,36066426.38
2023,4,Jan,47822806.89
2023,5,Feb,81894619.09
2023,6,Mar,98849933.6
2023,7,Apr,111967740.11
2023,8,May,135709791.36
2023,9,Jun,150072894.26
2023,10,Jul,162650601.16
2023,11,Aug,180372208.91
2023,12,Sep,193705999.67
2022,2,Oct/Nov,47905204.39
2022,3,Dec,65515655.3
2022,4,Jan,79219944.78
2022,5,Feb,106653620.89
2022,6,Mar,130577928.6
2022,7,Apr,149982700.65
2022,8,May,174855068.8
2022,9,Jun,200555561.4
2022,10,Jul,221576831.46
2022,11,Aug,244387371.23
2022,12,Sep,263288679.3
2021,2,Oct/Nov,47226721.76
2021,3,Dec,45053623.15
2021,4,Jan,56308340.2
2021,5,Feb,104328894.7
2021,6,Mar,131614647.43
2021,7,Apr,148516040.5
2021,8,May,170361123.5
2021,9,Jun,190433413.82
2021,10,Jul,214619146.25
2021,11,Aug,239924606.55
2021,12,Sep,264291874.86
2020,7,Apr,108656412.59
2020,8,May,158743095.97
2020,9,Jun,147287589.87
2020,10,Jul,178321256.84
2020,11,Aug,195704938.23
2020,12,Sep,220813650.09
