reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,0.0,0.0
2024,5,Feb,0.0,0.0
2024,6,Mar,0.0,0.0
2024,7,Apr,0.0,0.0
2024,8,May,0.0,0.0
2024,9,Jun,0.0,0.0
2024,10,Jul,0.0,0.0
2024,11,Aug,0.0,0.0
2024,12,Sep,0.0,0.0
2020,8,May,0.0,0.0
2020,9,Jun,0.0,0.0
2020,10,Jul,0.0,0.0
2020,11,Aug,0.0,0.0
2020,12,Sep,0.0,0.0
2019,9,Jun,150000.0,150000.0
2019,12,Sep,70487.0,220487.0
2018,6,Mar,277978.0,277978.0
2018,12,Sep,315561.0,593539.0
2017,6,Mar,140000.0,140000.0
2017,9,Jun,175741.0,315741.0
2017,12,Sep,252000.0,567741.0
