reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,12200000.0,12200000.0
2026,3,Dec,5024231.67,17224231.67
2026,4,Jan,-4724.65,17219507.02
2026,5,Feb,0.0,17219507.02
2025,2,Oct/Nov,0.0,0.0
2025,3,Dec,4122363.0,4122363.0
2025,4,Jan,0.0,4122363.0
2025,5,Feb,0.0,4122363.0
2025,6,Mar,24696.0,4147059.0
2025,7,Apr,0.0,4147059.0
2025,8,May,0.0,4147059.0
2025,9,Jun,0.0,4147059.0
2025,10,Jul,0.0,4147059.0
2025,11,Aug,0.0,4147059.0
2025,12,Sep,10791637.0,14938696.0
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,0.0,0.0
2024,5,Feb,0.0,0.0
2024,6,Mar,0.0,0.0
2024,7,Apr,7632345.0,7632345.0
2024,8,May,0.0,7632345.0
2024,9,Jun,0.0,7632345.0
2024,10,Jul,0.0,7632345.0
2024,11,Aug,0.0,7632345.0
2024,12,Sep,10961655.0,18594000.0
2023,6,Mar,2996986.0,2996986.0
2023,7,Apr,0.0,2996986.0
2023,8,May,0.0,2996986.0
2023,9,Jun,0.0,2996986.0
2023,10,Jul,0.0,2996986.0
2023,11,Aug,0.0,2996986.0
2023,12,Sep,0.0,2996986.0
