fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,3005718.27
2026,3,Dec,4533345.34
2026,4,Jan,5154076.94
2026,5,Feb,5644955.49
2026,6,Mar,10187188.95
2026,7,Apr,11777203.94
2026,8,May,12537056.56
2026,9,Jun,15442036.56
2025,2,Oct/Nov,630421.35
2025,3,Dec,860769.18
2025,4,Jan,1577023.5
2025,5,Feb,1577023.5
2025,6,Mar,3219881.8
2025,7,Apr,4155738.89
2025,8,May,6135522.61
2025,9,Jun,7217019.27
2025,10,Jul,7789415.1
2025,11,Aug,9386121.43
2025,12,Sep,10276864.41
2024,2,Oct/Nov,638513.73
2024,3,Dec,640981.05
2024,4,Jan,737941.61
2024,5,Feb,813658.56
2024,6,Mar,1038765.06
2024,7,Apr,1105904.89
2024,8,May,1105843.83
2024,9,Jun,1201487.0
2024,10,Jul,1239651.53
2024,11,Aug,1698068.55
2024,12,Sep,1697939.3
2023,6,Mar,13973.69
2023,7,Apr,40394.51
2023,8,May,543320.44
2023,9,Jun,576804.36
2023,10,Jul,841749.48
2023,11,Aug,908722.13
2023,12,Sep,1324716.78
