fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,3734659.66
2026,3,Dec,6101847.04
2025,2,Oct/Nov,1909602.88
2025,3,Dec,3606647.49
2025,4,Jan,4710051.93
2025,5,Feb,6395366.36
2025,6,Mar,8648071.15
2025,7,Apr,10968588.05
2025,8,May,13557658.04
2025,9,Jun,15735134.24
2025,10,Jul,17800837.99
2025,11,Aug,20758404.25
2025,12,Sep,23428374.59
2024,2,Oct/Nov,449396.16
2024,3,Dec,568319.34
2024,4,Jan,840600.49
2024,5,Feb,1108056.24
2024,6,Mar,1332141.95
2024,7,Apr,1565730.09
2024,8,May,1790357.17
2024,9,Jun,2206099.39
2024,10,Jul,2524649.84
2024,11,Aug,3095937.97
2024,12,Sep,3761970.22
2023,2,Oct/Nov,3454564.69
2023,3,Dec,6008075.4
2023,4,Jan,7252893.89
2023,5,Feb,8863013.67
2023,6,Mar,10228748.9
2023,7,Apr,11215845.59
2023,8,May,11795054.88
2023,9,Jun,12521836.26
2023,10,Jul,13147280.18
2023,11,Aug,13730816.81
2023,12,Sep,14034825.24
2022,2,Oct/Nov,717407.78
2022,3,Dec,1260167.77
2022,4,Jan,1703099.23
2022,5,Feb,2569876.15
2022,6,Mar,3727296.46
2022,7,Apr,4883946.45
2022,8,May,5975360.8
2022,9,Jun,7362652.11
2022,10,Jul,8528579.36
2022,11,Aug,10381574.71
2022,12,Sep,11987185.81
2021,2,Oct/Nov,1299076.6
2021,3,Dec,1186216.47
2021,4,Jan,1236776.26
2021,5,Feb,1298308.86
2021,6,Mar,1378010.33
2021,7,Apr,1459849.13
2021,8,May,1534234.65
2021,9,Jun,1597173.91
2021,10,Jul,1606773.4
2021,11,Aug,1905397.78
2021,12,Sep,2298223.03
2020,11,Aug,501544.68
2020,12,Sep,1051664.61
